"State","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - Sufficient","OC - Deficient","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"ANDHRA PRADESH","0.17286084701815038%","17.63180639585134%","82.19533275713052%","1.1882998171846435%","70.74954296160878%","28.062157221206583%","82.69581056466302%","16.21129326047359%","1.092896174863388%","39.273356401384085%","60.726643598615915%","16.14853195164076%","83.85146804835924%","2.0725388601036268%","35.66493955094992%","62.26252158894646%"
"ASSAM","6.53138871274572%","93.46861128725428%","0%","0%","100%","0%","26.484886916085394%","49.14394419784401%","24.3711688860706%","34.474741069541324%","65.52525893045868%","0.4861551469034031%","99.5138448530966%","9.554005495666878%","87.80384696681463%","2.642147537518495%"
"BIHAR","2.0120724346076457%","29.848657160353426%","68.13927040503893%","17.130358705161854%","81.10236220472441%","1.7672790901137359%","58.930602957906714%","37.99772468714448%","3.0716723549488054%","76.88309400052859%","23.116905999471413%","30.23215968474257%","69.76784031525743%","5.412198391420912%","56.459450402144775%","38.12835120643432%"
"CHHATTISGARH","0.22256886318672958%","25.658195099680412%","74.11923603713285%","0.6278985438097601%","79.68776838368609%","19.684333072504153%","77.29510073260073%","20.34302503052503%","2.361874236874237%","52.14730942986218%","47.85269057013782%","25.82495046486816%","74.17504953513183%","49.88817681219343%","43.07354019056926%","7.038282997237309%"
"DELHI","0%","0%","100%","7.6923076923076925%","46.15384615384615%","46.15384615384615%","25%","8.333333333333334%","66.66666666666667%","100%","0%","61.53846153846154%","38.46153846153846%","46.666666666666664%","26.666666666666668%","26.666666666666668%"
"GOA","26.25%","31.25%","42.5%","1.2658227848101267%","43.037974683544306%","55.69620253164557%","15%","47.5%","37.5%","70%","30%","1.25%","98.75%","98.75%","1.25%","0%"
"GUJARAT","0%","0%","100%","0%","100%","0%","50%","50%","0%","50%","50%","100%","0%","0%","0%","100%"
"HIMACHAL PRADESH","0.4767879548306148%","46.373902132998744%","53.14930991217064%","5.727863931965983%","79.26463231615809%","15.007503751875937%","58.779389694847424%","37.26863431715858%","3.951975987993997%","93.67311072056239%","6.3268892794376095%","0.9039900249376559%","99.09600997506234%","37.04076497232008%","56.366381479617516%","6.592853548062406%"
"JAMMU & KASHMIR","14.798485647194134%","68.43341160684334%","16.768102745962526%","15.196971149237994%","81.74542317645931%","3.0576056743026934%","49.54946319018405%","46.88937883435583%","3.5611579754601226%","85.97869571504314%","14.02130428495686%","32.815374189176104%","67.18462581082389%","19.157914928307676%","70.08104349494077%","10.761041576751547%"
"JHARKHAND","1.0067980380345924%","58.600808880475%","40.392393081490404%","2.837919434141292%","84.55102216854999%","12.611058397308721%","39.099037138927095%","55.73418156808803%","5.1667812929848695%","70.5770887166236%","29.4229112833764%","19.57758620689655%","80.42241379310344%","84.61538461538461%","12.817631806395852%","2.566983578219533%"
"MADHYA PRADESH","0.7334519168905878%","27.95367672103849%","71.31287136207092%","3.922351452332168%","84.66388453657949%","11.413764011088345%","75.61856439337413%","22.838382330995373%","1.5430532756305029%","66.1187639194043%","33.88123608059569%","41.258453835519184%","58.741546164480816%","9.626873493344513%","59.676284306826176%","30.69684219982931%"
"MAHARASHTRA","1.2733703890853967%","25.821121778676098%","72.9055078322385%","1.9001414998989286%","78.44147968465737%","19.658378815443704%","87.98383021728145%","11.298635674583123%","0.717534108135422%","34.53019116010923%","65.46980883989076%","33.49156650843349%","66.5084334915665%","6.087834427057042%","22.80666330136295%","71.10550227158001%"
"MIZORAM","0%","0%","100%","33.333333333333336%","0%","66.66666666666667%","0%","50%","50%","33.333333333333336%","66.66666666666667%","0%","0%","100%","0%","0%"
"NAGALAND","9.057855085953635%","67.60231536693912%","23.339829547107247%","15.366939119811512%","66.68024084470171%","17.95282003548678%","56.27854213327904%","37.15931237092411%","6.562145495796853%","77.30432242990655%","22.69567757009346%","13.201070514312311%","86.7989294856877%","95.87538904563833%","3.7086593560022107%","0.4159515983594636%"
"PUNJAB","0%","0%","100%","1.0309278350515463%","93.81443298969072%","5.154639175257732%","38.144329896907216%","55.670103092783506%","6.185567010309279%","39.92857142857143%","60.07142857142857%","1.1918951132300357%","98.80810488676997%","16.666666666666668%","62.61904761904762%","20.714285714285715%"
"RAJASTHAN","0.09629272989889263%","2.5276841598459314%","97.37602311025518%","6.060922178176507%","85.59983308992281%","8.339244731900688%","72.69618167789294%","24.434341959835674%","2.869476362271391%","25.453027139874738%","74.54697286012527%","41.261588574292155%","58.738411425707845%","0.05638037962788949%","12.428741464636973%","87.51487815573513%"
"TAMIL NADU","0.05843097456714949%","0.40132853584278994%","99.54024048959006%","13.771525215252153%","64.8570110701107%","21.371463714637148%","66.00713341327676%","25.998524121391014%","7.994342465332227%","12.27292320955724%","87.72707679044277%","15.466773369448122%","84.53322663055188%","13.32419697576299%","30.651966369991683%","56.02383665424533%"
"TELANGANA","0%","0%","100%","1.492537313432836%","29.850746268656717%","68.65671641791045%","0%","8.955223880597014%","91.04477611940298%","93.65079365079364%","6.349206349206349%","83.58208955223881%","16.417910447761194%","0%","98.50746268656717%","1.492537313432836%"
"TRIPURA","0%","20.107719928186714%","79.89228007181329%","30.46594982078853%","69.53405017921148%","0%","0.8960573476702509%","98.2078853046595%","0.8960573476702509%","98.02513464991023%","1.9748653500897666%","6.306306306306307%","93.69369369369369%","100%","0%","0%"
"UTTAR PRADESH","0.18147150813694826%","3.5340949003997393%","96.28443359146331%","0.7623059755761178%","72.47757800680391%","26.760116017619968%","37.976058208793134%","54.99427769470457%","7.029664096502293%","16.346065115810845%","83.65393488418916%","55.10700185251934%","44.89299814748066%","0.9051408977451318%","56.51625807861363%","42.57860102364124%"
"UTTARAKHAND","0%","0.2597402597402597%","99.74025974025975%","1.5313935681470139%","74.88514548238898%","23.583460949464012%","37.23076923076923%","48%","14.76923076923077%","57.43348982785602%","42.56651017214398%","67.94478527607362%","32.05521472392638%","2.304147465437788%","57.6036866359447%","40.09216589861751%"
"WEST BENGAL","11.184939091915837%","60.57585825027685%","28.239202657807308%","31.782945736434108%","44.96124031007752%","23.25581395348837%","82.55813953488372%","14.562569213732004%","2.8792912513842746%","79.35805201992252%","20.641947980077475%","7.087486157253599%","92.9125138427464%","73.89135254988913%","22.06208425720621%","4.046563192904657%"